command,mean,stddev,median,user,system,min,max
fastlz1,0.012986395793333,0.001471285836084,0.01247858378,0.004174342933333,0.008823754488889,0.01138921178,0.01959861078
fastlz2,0.012196137685094,0.000587584774639,0.01203119652,0.003905453207547,0.008274995,0.01121100202,0.01377797102
uncompressed,0.009189936953191,0.000562717389283,0.0090503129,0.004956227092199,0.004235085390071,0.0082692079,0.0106013019
zlib0,0.011953585806726,0.000725651314765,0.0118664233,0.004200792825112,0.007762784753363,0.0107087693,0.0147913433
zlib1,0.012962788941951,0.000913754132087,0.01278595442,0.005075546634146,0.007891110634146,0.01184051342,0.01786654842
zlib3,0.0126532173,0.000641237109966,0.0124734273,0.005266293896714,0.007377885070423,0.0116403703,0.0152530783
zlib6,0.012203219328696,0.000573042490811,0.01202490832,0.005261854608696,0.006953686434783,0.01133335482,0.01426628082
zlib9,0.012624523881379,0.000575146644204,0.01248667264,0.005127496945813,0.007492615960591,0.01160951164,0.01442773764
